Epoch: 287, Train Loss: 0.0252, Test MAE: 0.0327, Best MAE: 0.0269
Epoch: 288, Train Loss: 0.0255, Test MAE: 0.0297, Best MAE: 0.0269
Epoch: 289, Train Loss: 0.0254, Test MAE: 0.0328, Best MAE: 0.0269
Epoch: 290, Train Loss: 0.0254, Test MAE: 0.0309, Best MAE: 0.0269
Epoch: 291, Train Loss: 0.0250, Test MAE: 0.0316, Best MAE: 0.0269
Epoch: 292, Train Loss: 0.0250, Test MAE: 0.0312, Best MAE: 0.0269
Epoch: 293, Train Loss: 0.0251, Test MAE: 0.0305, Best MAE: 0.0269
Epoch: 294, Train Loss: 0.0251, Test MAE: 0.0302, Best MAE: 0.0269
Epoch: 295, Train Loss: 0.0252, Test MAE: 0.0287, Best MAE: 0.0269
Epoch: 296, Train Loss: 0.0258, Test MAE: 0.0261, Best MAE: 0.0261
Epoch: 297, Train Loss: 0.0245, Test MAE: 0.0288, Best MAE: 0.0261
Epoch: 298, Train Loss: 0.0246, Test MAE: 0.0264, Best MAE: 0.0261
Epoch: 299, Train Loss: 0.0252, Test MAE: 0.0303, Best MAE: 0.0261
Epoch: 300, Train Loss: 0.0248, Test MAE: 0.0307, Best MAE: 0.0261
Epoch: 301, Train Loss: 0.0248, Test MAE: 0.0308, Best MAE: 0.0261
Epoch: 302, Train Loss: 0.0247, Test MAE: 0.0300, Best MAE: 0.0261
Epoch: 303, Train Loss: 0.0246, Test MAE: 0.0264, Best MAE: 0.0261
Epoch: 304, Train Loss: 0.0248, Test MAE: 0.0318, Best MAE: 0.0261
Epoch: 305, Train Loss: 0.0259, Test MAE: 0.0285, Best MAE: 0.0261
Epoch: 306, Train Loss: 0.0248, Test MAE: 0.0312, Best MAE: 0.0261
Epoch: 307, Train Loss: 0.0260, Test MAE: 0.0295, Best MAE: 0.0261
Epoch: 308, Train Loss: 0.0258, Test MAE: 0.0312, Best MAE: 0.0261
Epoch: 309, Train Loss: 0.0242, Test MAE: 0.0325, Best MAE: 0.0261
Epoch: 310, Train Loss: 0.0245, Test MAE: 0.0320, Best MAE: 0.0261
Epoch: 311, Train Loss: 0.0242, Test MAE: 0.0316, Best MAE: 0.0261
Epoch: 312, Train Loss: 0.0254, Test MAE: 0.0317, Best MAE: 0.0261
Epoch: 313, Train Loss: 0.0245, Test MAE: 0.0320, Best MAE: 0.0261
Epoch: 314, Train Loss: 0.0244, Test MAE: 0.0296, Best MAE: 0.0261
Epoch: 315, Train Loss: 0.0240, Test MAE: 0.0297, Best MAE: 0.0261
Epoch: 316, Train Loss: 0.0240, Test MAE: 0.0302, Best MAE: 0.0261
Epoch: 317, Train Loss: 0.0241, Test MAE: 0.0315, Best MAE: 0.0261
Epoch: 318, Train Loss: 0.0242, Test MAE: 0.0296, Best MAE: 0.0261
